track,slice,x,y
5,862,1813,1181
5,865,1811,1180
5,868,1807,1183
5,871,1808,1187
5,874,1812,1192
5,877,1811,1190
5,880,1808,1192
5,883,1807,1195
6,1,1712,1174
6,4,1713,1173
6,7,1716,1174
6,10,1718,1175
6,13,1717,1177
6,16,1719,1176
6,19,1719,1177
6,22,1720,1177
6,25,1721,1179
6,28,1721,1180
6,31,1722,1182
6,34,1724,1182
6,37,1725,1183
6,40,1726,1184
6,43,1726,1185
6,46,1727,1186
6,49,1730,1187
6,52,1731,1189
6,55,1732,1191
6,58,1734,1191
6,61,1734,1191
6,64,1734,1194
6,67,1737,1197
6,70,1741,1198
6,73,1742,1199
6,76,1742,1201
6,79,1743,1205
6,82,1746,1208
6,85,1748,1211
6,88,1751,1214
6,91,1752,1217
6,94,1756,1218
6,97,1758,1221
6,100,1760,1223
6,103,1761,1226
6,106,1759,1226
6,109,1760,1228
6,112,1763,1230
6,115,1764,1229
6,118,1766,1231
6,121,1766,1233
6,124,1765,1235
6,127,1763,1238
